actransit,CA,US
jhu-apl,MD,US
art,NC,US
atlanta-sc,GA,US
bigbluebus,CA,US
brockton,MA,US
ccrta,MA,US
charm-city,MD,US
ccny,NY,US
oxford-ms,MS,US
west-hollywood,CA,US
cyride,IA,US
dc-circulator,DC,US
dc-streetcar,DC,US
da,NY,US
dumbarton,CA,US
charles-river,MA,US
fast,CA,US
fairfax,VA,US
foothill,CA,US
glendale,CA,US
south-coast,CA,US
indianapolis-air,IN,US
jfk,NY,US
jtafla,Florida,US
laguardia,NY,US
lga,NY,US
lametro,CA,US
lametro-rail,CA,US
mbta,MA,US
mit,MA,US
ewr,NJ,US
nova-se,Florida,US
omnitrans,CA,US
psu,NH,US
portland-sc,OR,US
pgc,MD,US
reno,NV,US
rutgers,NJ,US
sf-muni,CA,US
seattle-sc,WA,US
simi-valley,CA,US
sct,CA,US
geg,WA,US
tahoe,CA,US
ft-worth,TX,US
ucla,CA,US
unitrans,CA,US
ucb,CA,US
umd,MD,US
wku,Kentucky,US
winston-salem,NC,US
